date,league,home_team,away_team,bet_on,model_prob,edge,decimal_odds,ev,stake,won,profit,bankroll
2024-08-09,ENG_CHAMP,Blackburn,Derby,H,0.6199,0.1922,2.2,0.3637,50.0,True,60.0,1060.0
2024-08-10,ENG_CHAMP,Stoke,Coventry,H,0.512,0.1256,2.45,0.2544,46.48,True,67.4,1127.4
2024-08-10,ENG_CHAMP,Middlesbrough,Swansea,H,0.7039,0.1857,1.8,0.267,56.37,True,45.1,1172.49
2024-08-10,ENG_CHAMP,Leeds,Portsmouth,D,0.5363,0.3477,5.0,1.6814,58.62,True,234.48,1406.97
2024-08-10,ENG_CHAMP,Cardiff,Sunderland,A,0.5589,0.1816,2.5,0.3974,70.35,True,105.52,1512.5
2024-08-11,ENG_CHAMP,Sheffield Weds,Plymouth,H,0.6834,0.161,1.8,0.2301,75.62,True,60.5,1572.99
2024-08-15,LA_LIGA,Ath Bilbao,Getafe,D,0.6068,0.3689,4.0,1.4274,78.65,True,235.95,1808.94
2024-08-16,LIGUE_1,Le Havre,Paris SG,A,0.842,0.1761,1.42,0.1956,90.45,True,37.99,1846.93
2024-08-16,LA_LIGA,Las Palmas,Sevilla,D,0.527,0.2326,3.25,0.7127,92.35,True,207.79,2054.72
2024-08-16,ENG_CHAMP,Coventry,Oxford,H,0.6823,0.1248,1.7,0.1599,102.74,True,71.92,2126.64
2024-08-17,ENG_CHAMP,Bristol City,Millwall,H,0.5278,0.0545,2.0,0.0555,29.52,True,29.52,2156.16
2024-08-17,ENG_CHAMP,Norwich,Blackburn,D,0.5657,0.2893,3.4,0.9233,107.81,True,258.74,2414.9
2024-08-17,ENG_CHAMP,Sheffield United,QPR,H,0.5865,0.0626,1.8,0.0558,42.07,False,-42.07,2372.83
2024-08-17,ENG_CHAMP,Plymouth,Hull,D,0.6445,0.39,3.7,1.3845,118.64,True,320.33,2693.16
2024-08-17,LA_LIGA,Valencia,Barcelona,A,0.642,0.0924,1.73,0.1107,102.09,True,74.53,2767.69
2024-08-17,LIGUE_1,Monaco,St Etienne,H,0.8035,0.1648,1.48,0.1892,138.38,True,66.42,2834.11
2024-08-17,EPL,Ipswich,Liverpool,A,0.8842,0.169,1.33,0.176,141.71,True,46.76,2880.87
2024-08-17,EPL,Everton,Brighton,A,0.5008,0.1432,2.63,0.317,140.08,True,228.33,3109.2
2024-08-17,EPL,Newcastle,Southampton,H,0.9355,0.2357,1.36,0.2722,155.46,True,55.97,3165.17
2024-08-17,EPL,Nott'm Forest,Bournemouth,D,0.5045,0.2327,3.5,0.7658,158.26,True,395.65,3560.82
2024-08-17,EPL,West Ham,Aston Villa,A,0.6043,0.2579,2.75,0.6619,178.04,True,311.57,3872.39
2024-08-17,LIGUE_1,Reims,Lille,A,0.5361,0.1039,2.2,0.1794,144.73,True,173.68,4046.06
2024-08-17,LIGUE_1,Brest,Marseille,A,0.531,0.1353,2.4,0.2744,198.28,True,277.59,4323.66
2024-08-17,ENG_CHAMP,Burnley,Cardiff,H,0.7454,0.1012,1.45,0.0808,194.14,True,87.36,4411.02
2024-08-17,SERIE_A,Genoa,Inter,D,0.7222,0.4858,4.0,1.8888,220.55,True,661.65,5072.67
2024-08-17,SERIE_A,Empoli,Monza,D,0.6042,0.3054,3.2,0.9334,253.63,True,557.99,5630.65
2024-08-18,SERIE_A,Lazio,Venezia,H,0.7618,0.1201,1.48,0.1275,281.53,True,135.13,5765.79
2024-08-18,LIGUE_1,Angers,Lens,A,0.8209,0.2354,1.62,0.3298,288.29,True,178.74,5944.53
2024-08-18,LIGUE_1,Montpellier,Strasbourg,D,0.5323,0.249,3.3,0.7565,297.23,True,683.63,6628.16
2024-08-18,LIGUE_1,Toulouse,Nantes,D,0.5731,0.2843,3.3,0.8912,331.41,True,762.24,7390.4
2024-08-18,SERIE_A,Bologna,Udinese,D,0.5784,0.2979,3.4,0.9666,369.52,True,886.85,8277.25
2024-08-18,SERIE_A,Cagliari,Roma,A,0.5422,0.0542,1.95,0.0574,124.95,False,-124.95,8152.3
2024-08-18,EPL,Chelsea,Man City,A,0.8129,0.2868,1.8,0.4633,407.61,True,326.09,8478.39
2024-08-18,LA_LIGA,Mallorca,Real Madrid,D,0.5767,0.3505,4.2,1.4221,423.92,True,1356.54,9834.93
2024-08-19,LA_LIGA,Valladolid,Espanol,H,0.5995,0.1985,2.38,0.4269,491.75,True,678.61,10513.55
2024-08-19,EPL,Leicester,Tottenham,D,0.5893,0.369,4.33,1.5516,525.68,True,1750.51,12264.06
2024-08-19,SERIE_A,Lecce,Atalanta,A,0.7686,0.2533,1.85,0.4219,613.2,True,521.22,12785.28
2024-08-19,SERIE_A,Juventus,Como,H,0.7641,0.0528,1.33,0.0162,156.93,True,51.79,12837.07
2024-08-23,LIGUE_1,Paris SG,Montpellier,H,0.8212,0.0541,1.25,0.0265,340.75,True,85.19,12922.25
2024-08-23,LA_LIGA,Celta,Valencia,H,0.5826,0.1282,2.1,0.2234,646.11,True,710.72,13632.98
2024-08-23,ENG_CHAMP,Sheffield Weds,Leeds,A,0.6744,0.1812,1.91,0.2881,681.65,True,620.3,14253.28
2024-08-24,LIGUE_1,Lille,Angers,H,0.8753,0.1796,1.36,0.1904,712.66,True,256.56,14509.83
2024-08-24,EPL,Brighton,Man United,H,0.566,0.1852,2.5,0.4149,725.49,True,1088.24,15598.07
2024-08-24,EPL,Fulham,Leicester,H,0.6538,0.1298,1.8,0.1768,779.9,True,623.92,16221.99
2024-08-24,LA_LIGA,Osasuna,Mallorca,H,0.588,0.2005,2.45,0.4406,811.1,True,1176.1,17398.08
2024-08-24,LA_LIGA,Barcelona,Ath Bilbao,H,0.674,0.0891,1.62,0.0919,644.43,True,399.55,17797.63
2024-08-24,LA_LIGA,Espanol,Sociedad,A,0.6159,0.1543,2.05,0.2626,889.88,True,934.37,18732.01
2024-08-24,LA_LIGA,Getafe,Vallecano,D,0.708,0.3917,3.0,1.124,936.6,True,1873.2,20605.21
2024-08-24,EPL,Tottenham,Everton,H,0.8509,0.195,1.44,0.2253,1030.26,True,453.31,21058.52
2024-08-24,EPL,Aston Villa,Arsenal,A,0.7684,0.2321,1.75,0.3447,1052.93,True,789.7,21848.22
2024-08-24,LIGUE_1,Lyon,Monaco,A,0.5984,0.2313,2.6,0.5559,1092.41,True,1747.86,23596.07
2024-08-24,ENG_CHAMP,QPR,Plymouth,D,0.5139,0.2661,3.8,0.9527,1179.8,True,3303.44,26899.51
2024-08-24,SERIE_A,Inter,Lecce,H,0.9094,0.1181,1.2,0.0913,1344.98,True,269.0,27168.51
2024-08-24,ENG_CHAMP,Blackburn,Oxford,H,0.7716,0.2371,1.75,0.3503,1358.43,True,1018.82,28187.33
2024-08-24,ENG_CHAMP,Middlesbrough,Portsmouth,D,0.5055,0.2883,4.33,1.1889,1409.37,True,4693.2,32880.53
2024-08-24,ENG_CHAMP,Watford,Derby,H,0.5582,0.0531,1.85,0.0327,316.48,True,269.01,33149.54
2024-08-25,SERIE_A,Napoli,Bologna,H,0.607,0.1086,1.9,0.1534,1412.23,True,1271.01,34420.55
2024-08-25,LIGUE_1,Lens,Brest,H,0.6043,0.0743,1.8,0.0878,944.69,True,755.75,35176.3
2024-08-25,EPL,Liverpool,Brentford,H,0.829,0.0807,1.27,0.0528,1719.95,True,464.39,35640.69
2024-08-25,EPL,Wolves,Chelsea,A,0.7153,0.1723,1.75,0.2518,1782.03,True,1336.52,36977.21
2024-08-25,LA_LIGA,Ath Madrid,Girona,H,0.7225,0.1276,1.6,0.1559,1848.86,True,1109.32,38086.53
2024-08-25,SERIE_A,Fiorentina,Venezia,D,0.5805,0.3815,4.75,1.7575,1904.33,True,7141.24,45227.76
2024-08-25,LA_LIGA,Leganes,Las Palmas,H,0.5884,0.1673,2.25,0.3238,2261.39,True,2826.74,48054.5
2024-08-26,LA_LIGA,Villarreal,Celta,H,0.7154,0.231,1.91,0.3665,2402.73,True,2186.48,50240.99
2024-08-26,SERIE_A,Verona,Juventus,A,0.7608,0.1937,1.67,0.2705,2512.05,True,1683.07,51924.06
2024-08-27,LA_LIGA,Mallorca,Sevilla,D,0.5041,0.197,3.1,0.5628,2596.2,True,5452.02,57376.08
2024-08-27,LA_LIGA,Vallecano,Barcelona,A,0.7243,0.1479,1.62,0.1734,2868.8,True,1778.66,59154.73
2024-08-28,LA_LIGA,Ath Bilbao,Valencia,H,0.6936,0.1043,1.62,0.1236,2947.45,True,1827.42,60982.15
2024-08-29,LA_LIGA,Girona,Osasuna,H,0.6457,0.0956,1.7,0.0977,2128.57,True,1490.0,62472.15
2024-08-29,LA_LIGA,Las Palmas,Real Madrid,D,0.5079,0.3174,5.0,1.5397,3123.61,True,12494.44,74966.59
2024-08-30,SERIE_A,Inter,Atalanta,H,0.7555,0.1487,1.57,0.1861,3748.33,True,2136.55,77103.14
2024-08-30,SERIE_A,Venezia,Torino,A,0.5401,0.1079,2.2,0.1882,3022.83,True,3627.4,80730.54
2024-08-31,ENG_CHAMP,Portsmouth,Sunderland,A,0.6116,0.1519,2.05,0.2538,4036.53,True,4238.36,84968.89
2024-08-31,SERIE_A,Napoli,Parma,H,0.8455,0.2016,1.48,0.2513,4248.44,True,2039.25,87008.14
2024-08-31,SERIE_A,Lazio,Milan,D,0.5477,0.2691,3.4,0.8623,4350.41,True,10440.98,97449.13
2024-08-31,ENG_CHAMP,Oxford,Preston,H,0.5229,0.1315,2.4,0.2551,4438.32,True,6213.65,103662.78
2024-08-31,ENG_CHAMP,Cardiff,Middlesbrough,A,0.565,0.0568,1.85,0.0453,1380.98,True,1173.83,104836.61
2024-08-31,SERIE_A,Lecce,Cagliari,H,0.5466,0.1237,2.25,0.2298,4818.18,True,6022.73,110859.33
2024-08-31,ENG_CHAMP,Leeds,Hull,H,0.8537,0.14,1.33,0.1355,5542.97,True,1829.18,112688.51
2024-08-31,EPL,West Ham,Man City,A,0.8679,0.1773,1.38,0.1977,5634.43,True,2141.08,114829.6
2024-08-31,LIGUE_1,Toulouse,Marseille,A,0.5997,0.0997,1.9,0.1394,4444.97,True,4000.47,118830.07
2024-08-31,LIGUE_1,Brest,St Etienne,H,0.7211,0.1918,1.8,0.298,5941.5,True,4753.2,123583.27
2024-08-31,LA_LIGA,Leganes,Mallorca,A,0.6287,0.3299,3.2,1.0118,6179.16,True,13594.15,137177.42
2024-08-31,LA_LIGA,Barcelona,Valladolid,H,0.8767,0.122,1.25,0.0959,6858.87,True,1714.72,138892.14
2024-08-31,EPL,Leicester,Aston Villa,A,0.734,0.1793,1.7,0.2478,6944.61,True,4861.23,143753.37
2024-08-31,ENG_CHAMP,Millwall,Sheffield Weds,H,0.5697,0.1763,2.38,0.3558,7187.67,True,9918.98,153672.35
2024-08-31,EPL,Brentford,Southampton,H,0.6402,0.1005,1.75,0.1203,6163.87,True,4622.9,158295.25
2024-08-31,EPL,Everton,Bournemouth,A,0.5675,0.194,2.55,0.4471,7914.76,True,12267.88,170563.13
2024-09-01,LA_LIGA,Sevilla,Girona,A,0.6408,0.2953,2.75,0.7623,8528.16,True,14924.28,185487.41
2024-09-01,SERIE_A,Fiorentina,Monza,D,0.596,0.353,3.9,1.3245,9274.37,True,26895.67,212383.09
2024-09-01,LA_LIGA,Getafe,Sociedad,D,0.5653,0.2371,2.9,0.6395,10619.15,True,20176.38,232559.47
2024-09-01,ENG_CHAMP,Sheffield United,Watford,H,0.6401,0.1056,1.75,0.1202,9319.76,True,6989.82,239549.29
2024-09-01,LIGUE_1,Angers,Nice,A,0.7151,0.2403,2.0,0.4302,11977.46,True,11977.46,251526.75
2024-09-01,LA_LIGA,Real Madrid,Betis,H,0.7994,0.0641,1.29,0.0312,6757.09,True,1959.56,253486.31
2024-09-01,LA_LIGA,Alaves,Las Palmas,H,0.5482,0.063,1.95,0.069,4604.96,True,4374.71,257861.02
2024-09-01,LIGUE_1,Lille,Paris SG,A,0.7357,0.2258,1.85,0.361,12893.05,True,10959.09,268820.11
2024-09-01,EPL,Man United,Liverpool,A,0.7601,0.2448,1.85,0.4062,13441.01,True,11424.86,280244.97
